temperature,humidity,Time,Temperature,Humidity,HeatIndex
,,2026-02-23 21:51:25.061847,22.5,67.0,22.55
,,2026-02-23 21:51:27.261459,22.5,67.0,22.55
,,2026-02-23 21:51:29.443912,22.5,67.0,22.55
,,2026-02-23 21:51:30.656795,22.4,66.0,22.42
,,2026-02-23 21:51:32.859271,22.4,66.0,22.42
,,2026-02-23 21:51:35.055844,22.4,66.0,22.42
,,2026-02-23 21:51:37.262048,22.4,66.0,22.42
,,2026-02-23 21:51:39.479926,22.4,66.0,22.42
,,2026-02-23 21:51:41.660333,22.4,66.0,22.42
,,2026-02-23 21:51:42.906084,22.4,66.0,22.42
,,2026-02-23 21:51:45.093678,22.4,66.0,22.42
,,2026-02-23 21:51:47.367639,22.4,66.0,22.42
,,2026-02-23 21:51:49.551855,22.4,66.0,22.42
,,2026-02-23 21:51:51.743188,22.4,66.0,22.42
,,2026-02-23 21:51:53.930959,22.4,66.0,22.42
,,2026-02-23 21:51:55.122472,22.4,66.0,22.42
,,2026-02-23 21:51:57.311633,22.4,66.0,22.42
,,2026-02-23 21:51:59.514710,22.4,66.0,22.42
,,2026-02-23 21:52:01.725713,22.4,66.0,22.42
,,2026-02-23 21:52:03.921907,22.4,66.0,22.42
,,2026-02-23 21:52:06.115209,22.4,66.0,22.42
,,2026-02-23 21:52:07.328735,22.4,66.0,22.42
,,2026-02-23 21:52:09.537947,22.4,66.0,22.42
,,2026-02-23 21:52:11.745430,22.5,67.0,22.55
,,2026-02-23 21:52:13.953626,22.5,67.0,22.55
,,2026-02-23 21:52:16.159375,22.5,67.0,22.55
,,2026-02-23 21:52:18.355864,22.5,67.0,22.55
,,2026-02-23 21:52:19.557645,22.5,67.0,22.55
,,2026-02-23 21:52:21.768124,22.5,67.0,22.55
,,2026-02-23 21:52:23.963764,22.4,67.0,22.44
,,2026-02-23 21:52:26.167568,22.5,67.0,22.55
,,2026-02-23 21:52:28.365055,22.5,67.0,22.55
,,2026-02-23 21:52:30.568592,22.5,67.0,22.55
,,2026-02-23 21:52:31.766913,22.5,67.0,22.55
,,2026-02-23 21:52:33.978138,22.5,67.0,22.55
,,2026-02-23 21:52:36.183594,22.5,67.0,22.55
,,2026-02-23 21:52:38.411606,22.5,67.0,22.55
,,2026-02-23 21:52:40.613908,22.5,67.0,22.55
,,2026-02-23 21:52:42.806397,22.5,67.0,22.55
,,2026-02-23 21:52:44.002611,22.5,67.0,22.55
,,2026-02-23 21:52:46.199095,22.5,67.0,22.55
